userid,name,editcount,registration,groups,emailable,gender,blockid,blockedby,blockedbyid,blockreason,blockedtimestamp,blockexpiry,blocknocreate,blockemail,blockowntalk,blockedtimestampformatted,2022,2025,2024,2023,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2010,2009,2008,2011,2007,2006,edits_per_year_dict
38910429,LSGH,59406,2020-04-02T10:23:20Z,"['extendedconfirmed', '*', 'user', 'autoconfirmed']",,unknown,,,,,,,,,,,500.0,,,,,,,,,,,,,,,,,,,,Counter({'2022': 500})
15458982,TheDraperyFalls,11308,2011-10-04T07:05:08Z,"['extendedconfirmed', '*', 'user', 'autoconfirmed', 'oathauth-twofactorauth']",,male,,,,,,,,,,,,10.0,357.0,133.0,,,,,,,,,,,,,,,,,"Counter({'2024': 357, '2023': 133, '2025': 10})"
9761029,UP9,390,2009-05-25T17:33:35Z,"['*', 'user', 'autoconfirmed', 'oathauth-twofactorauth']",,unknown,,,,,,,,,,,3.0,,,,26.0,205.0,21.0,6.0,9.0,9.0,4.0,1.0,6.0,6.0,31.0,64.0,,,,,"Counter({'2020': 205, '2009': 64, '2010': 31, '2021': 26, '2019': 21, '2017': 9, '2016': 9, '2018': 6, '2013': 6, '2012': 6, '2015': 4, '2022': 3, '2014': 1})"
3132940,Toddy1,51941,2006-12-30T16:29:31Z,"['autoreviewer', 'extendedconfirmed', 'reviewer', 'rollbacker', '*', 'user', 'autoconfirmed']",,unknown,,,,,,,,,,,,500.0,,,,,,,,,,,,,,,,,,,Counter({'2025': 500})
848299,Illythr,8903,2006-01-27T22:40:20Z,"['extendedconfirmed', 'reviewer', 'rollbacker', '*', 'user', 'autoconfirmed']",,male,,,,,,,,,,,3.0,2.0,,1.0,6.0,3.0,,1.0,1.0,10.0,15.0,193.0,265.0,,,,,,,,"Counter({'2013': 265, '2014': 193, '2015': 15, '2016': 10, '2021': 6, '2022': 3, '2020': 3, '2025': 2, '2023': 1, '2018': 1, '2017': 1})"
69761,Irpen,32604,2004-06-03T04:10:48Z,"['*', 'user', 'autoconfirmed']",,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,500.0,,,,Counter({'2008': 500})
20874,Criztu,3718,2004-08-10T10:32:01Z,"['*', 'user', 'autoconfirmed']",,unknown,,,,,,,,,,,,,,,,,,,,,,,,,200.0,85.0,,1.0,2.0,212.0,"Counter({'2006': 212, '2010': 200, '2009': 85, '2007': 2, '2011': 1})"
21492,Wetman,92066,2003-09-04T23:44:04Z,"['autoreviewer', 'extendedconfirmed', 'reviewer', 'rollbacker', '*', 'user', 'autoconfirmed', 'oathauth-twofactorauth']",,male,,,,,,,,,,,85.0,,,47.0,59.0,117.0,61.0,106.0,25.0,,,,,,,,,,,,"Counter({'2020': 117, '2018': 106, '2022': 85, '2019': 61, '2021': 59, '2023': 47, '2017': 25})"
21256635,Euroserhi,113,2014-04-24T10:48:07Z,"['*', 'user', 'autoconfirmed']",,unknown,,,,,,,,,,,,1.0,1.0,2.0,9.0,92.0,,,,,3.0,5.0,,,,,,,,,"Counter({'2020': 92, '2021': 9, '2014': 5, '2015': 3, '2023': 2, '2025': 1, '2024': 1})"
9475,Bogdangiusca,39816,2003-05-01T19:30:26Z,"['*', 'user', 'autoconfirmed']",,male,8872449.0,GeneralizationsAreBad,24080262.0,Compromised account can also access own talk page and email...,2019-03-02T17:10:43Z,infinite,,,,"17:10, 2 March 2019",,,,,,,10.0,24.0,31.0,167.0,268.0,,,,,,,,,,"Counter({'2015': 268, '2016': 167, '2017': 31, '2018': 24, '2019': 10})"
